mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,prefix-reuse-B,last_token_latency_ms,73,73,2742.116821589041,18.435965999999553,99.32723469180569,99.32767393953274,-99.3324482767356,-99.32425692205804
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,output_tokens_per_second,73,73,11.588216189282027,1518.7173343271918,13010.57148975774,13005.704187084959,12948.634486606325,13063.797766953032
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,ttft_ms,73,73,416.0428120342466,15.566157493150683,96.20164789534587,96.25852026693124,-96.35720160629215,-96.15168790721455
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,average_tpot_ms,73,73,164.7679743150685,0.8271721129032258,99.49786778530465,99.49797761589184,-99.49987988794268,-99.49639826085298
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,exact_itl_ms,73,73,164.7679743150685,0.8271721129032258,99.49786778530465,99.49797761589184,-99.49987988794268,-99.49639826085298
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,request_latency_ms,73,73,5524.566503609589,41.208492993150685,99.25380934844006,99.25408639815946,-99.25740201022218,-99.25084685820408
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-repeated-text,last_token_latency_ms,73,73,5523.85001580137,41.208492993150685,99.25371254335583,99.25398964716148,-99.25730611642994,-99.25074851321428
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,output_tokens_per_second,73,73,11.616419724151624,1498.3506521744662,12811.235203543862,12798.558142310018,12722.275651279428,12895.530583555426
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,ttft_ms,73,73,404.0853705,15.854645794520547,96.01489239875241,96.07641182978175,-96.18923761706037,-95.96062566465136
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,average_tpot_ms,73,73,164.83082649381353,0.836504516129032,99.49209098595011,99.4925072367089,-99.49676871477867,-99.48969432600903
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,exact_itl_ms,73,73,164.83082649381353,0.836504516129032,99.49209098595011,99.4925072367089,-99.49676871477867,-99.48969432600903
