mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,heterogeneous,request_latency_ms,ms,40,40,5509.9467989,5509.9467989,3483.6039324666663,-36.77608768995503,36.759805294874056,36.776087689955034,-37.11040524600424,-36.468087901818926
hybrid,heterogeneous,last_token_latency_ms,ms,40,40,5508.885665475,5508.885665475,3483.6039324666663,-36.76390936375887,36.74760954840838,36.76390936375888,-37.09829717755606,-36.45589707623398
hybrid,heterogeneous,exact_itl_ms,ms,40,40,162.7488646153226,162.7488646153226,91.53282684946235,-43.758239379542395,43.74658174679507,43.7582393795424,-44.049880530565964,-43.54051711874726
hybrid,prefix-cold-control,ttft_ms,ms,40,40,351.3563566,351.3563566,451.676916,28.552367849775216,28.557344699070537,28.55236784977523,28.294853676948417,28.789207655232133
hybrid,prefix-cold-control,average_tpot_ms,ms,40,40,155.8101294,155.8101294,134.84463766666664,-13.455795084740718,13.453167358075605,13.45579508474073,-13.607102508305884,-13.312847123303783
hybrid,prefix-cold-control,output_tokens_per_second,tokens/s,40,40,5.9505933733381955,5.9505933733381955,6.465383354807198,8.651069719795235,8.65383232130788,8.651069719795242,8.489864262791855,8.82563643872171
hybrid,prefix-cold-control,request_latency_ms,ms,40,40,2688.875837425,2688.875837425,2474.3464809999996,-7.978403221118768,7.976063917617006,7.978403221118774,-8.125978686595284,-7.8407997623651635
hybrid,prefix-cold-control,last_token_latency_ms,ms,40,40,2688.5082976,2688.5082976,2474.3464809999996,-7.9658231589309185,7.9634853158269525,7.965823158930933,-8.113389600276719,-7.8281926615078
hybrid,prefix-cold-control,exact_itl_ms,ms,40,40,155.8101294,155.8101294,134.84463766666664,-13.455795084740718,13.453167358075605,13.45579508474073,-13.607102508305884,-13.312847123303783
hybrid,prefix-reuse-B,ttft_ms,ms,40,40,345.899908475,345.899908475,339.80780999999996,-1.7612315949601887,1.7567340050447913,1.7612315949601807,-1.9830115635776429,-1.565531437750634
hybrid,prefix-reuse-B,average_tpot_ms,ms,40,40,156.87789365333333,156.87789365333333,134.84463766666667,-14.044844352229424,13.9886098433366,14.044844352229426,-14.849000320713074,-13.574543411561525
